,Model,Precision,Recall,F1-Score,Accuracy,Method,Prompt_Version,Query_Template,Examples_Method,Temperature
903,GEMMA2-27B,0.6588,0.715,0.6435,0.6529,many-shot,1,1,1,0.5
904,LLAMA3.2_3B,0.6652,0.6318,0.6433,0.7005,many-shot,3,2,1,0.5
905,MISTRAL_NEMO,0.7193,0.6146,0.6433,0.7211,zero-shot,3,2,,0.5
906,GEMMA2-2B,0.6403,0.6717,0.6432,0.6722,many-shot,2,2,2,0.5
907,GEMMA2-2B,0.6451,0.6481,0.6427,0.6764,zero-shot,1,2,,1.0
908,LLAMA3.1,0.6459,0.6987,0.6425,0.6604,one-shot,2,2,1,0.2
909,MISTRAL_NEMO,0.6481,0.6596,0.6425,0.6763,zero-shot,1,2,,1.0
910,GEMMA2-2B,0.6408,0.6627,0.6424,0.6708,many-shot,3,2,1,1.0
911,LLAMA3.1,0.6744,0.6325,0.6422,0.7278,many-shot,3,2,1,0.0
912,MISTRAL_NEMO,0.665,0.6388,0.6422,0.6883,one-shot,1,1,2,0.0
913,LLAMA3,0.6302,0.7072,0.6421,0.6443,one-shot,2,1,1,0.5
914,LLAMA3.2_3B,0.641,0.7084,0.642,0.6561,one-shot,3,2,2,1.0
915,MISTRAL_NEMO,0.6562,0.674,0.6418,0.6695,zero-shot,2,1,,0.0
916,PHI3.5_MINI,0.6266,0.6886,0.6418,0.6568,one-shot,1,1,2,1.0
917,PHI3_MEDIUM,0.6414,0.6501,0.6416,0.6979,few-shot,2,1,2,0.2
918,LLAMA3,0.672,0.6442,0.6414,0.6894,zero-shot,1,2,,0.0
919,GEMMA2-2B,0.6563,0.6853,0.6412,0.6604,many-shot,1,2,2,0.2
920,LLAMA3,0.6343,0.6765,0.6412,0.6464,many-shot,2,1,2,1.0
921,GEMMA2-2B,0.6391,0.6759,0.6412,0.6663,many-shot,2,2,2,1.0
922,QWEN2,0.6465,0.7046,0.6409,0.6582,zero-shot,2,1,,1.0
923,PHI3.5_MINI,0.6613,0.6331,0.6408,0.6932,many-shot,1,1,1,0.0
924,GEMMA2-2B,0.6551,0.6833,0.6405,0.6604,many-shot,1,2,2,0.0
925,LLAMA3.1,0.7123,0.6154,0.6401,0.6964,zero-shot,1,1,,0.2
926,LLAMA3,0.6499,0.734,0.6399,0.6427,one-shot,3,2,2,0.5
927,PHI3.5_MINI,0.6511,0.7047,0.6398,0.6569,one-shot,1,2,2,0.0
928,PHI3.5_MINI,0.6518,0.7057,0.6397,0.6571,one-shot,1,2,2,0.2
929,QWEN2,0.6498,0.7117,0.6395,0.6539,zero-shot,1,1,,1.0
930,GEMMA2-2B,0.6522,0.6813,0.6394,0.6599,many-shot,1,2,2,0.5
931,PHI3.5_MINI,0.6513,0.7038,0.6393,0.6562,one-shot,1,2,2,0.5
932,LLAMA3.1,0.6425,0.6975,0.6391,0.6556,one-shot,2,2,1,0.5
933,LLAMA3.1,0.6269,0.7039,0.6388,0.647,few-shot,2,1,1,0.5
934,LLAMA3.1,0.6498,0.6303,0.6388,0.6695,zero-shot,2,1,,0.2
935,LLAMA3,0.6686,0.6414,0.6386,0.6873,zero-shot,1,2,,0.2
936,LLAMA3,0.6647,0.6427,0.6385,0.6857,zero-shot,1,2,,0.5
937,LLAMA3,0.652,0.7348,0.6382,0.64,one-shot,3,2,2,1.0
938,PHI3.5_MINI,0.6553,0.632,0.638,0.6882,many-shot,1,1,1,0.2
939,LLAMA3.1,0.638,0.6993,0.6376,0.6518,few-shot,3,2,1,0.2
940,PHI3_MEDIUM,0.6626,0.6232,0.6374,0.7011,many-shot,1,1,2,0.2
941,LLAMA3,0.6571,0.6431,0.6372,0.6814,zero-shot,1,2,,1.0
942,LLAMA3.2_3B,0.6229,0.6739,0.6368,0.6577,one-shot,3,2,1,1.0
943,LLAMA3.1,0.6377,0.7082,0.6366,0.6425,one-shot,1,2,1,0.2
944,MISTRAL_NEMO,0.651,0.6687,0.6365,0.6647,zero-shot,2,1,,0.2
945,MISTRAL_NEMO,0.6678,0.6276,0.6362,0.6878,one-shot,2,1,2,0.0
946,LLAMA3,0.628,0.7107,0.6361,0.6437,one-shot,1,1,1,1.0
947,PHI3.5_MINI,0.6553,0.6796,0.636,0.6629,zero-shot,1,2,,1.0
948,PHI3.5_MINI,0.6442,0.6648,0.636,0.672,many-shot,1,2,2,1.0
949,PHI3.5_MINI,0.6555,0.6759,0.6358,0.6623,zero-shot,1,2,,0.5
950,LLAMA3.1,0.6377,0.7079,0.6356,0.6419,one-shot,1,2,1,0.0
951,LLAMA3,0.6415,0.637,0.6354,0.6862,zero-shot,3,2,,1.0
952,LLAMA3.2_3B,0.6411,0.6971,0.6352,0.6513,few-shot,3,2,2,1.0
953,LLAMA3.1,0.6499,0.7041,0.6351,0.6448,few-shot,2,2,2,1.0
954,PHI3.5_MINI,0.6543,0.6748,0.6348,0.6634,zero-shot,1,1,,0.0
955,LLAMA3.1,0.6235,0.6622,0.6348,0.6733,many-shot,1,2,1,0.5
956,PHI3.5_MINI,0.6542,0.6748,0.6348,0.6633,zero-shot,1,1,,0.2
957,GEMMA2-2B,0.6243,0.6833,0.6346,0.655,one-shot,1,2,1,0.0
958,LLAMA3,0.6412,0.672,0.6343,0.6588,zero-shot,2,2,,0.0
959,PHI3.5_MINI,0.6546,0.6746,0.6343,0.6625,zero-shot,1,1,,0.5
960,LLAMA3.1,0.6406,0.7219,0.634,0.6443,few-shot,1,2,1,0.2
961,PHI3.5_MINI,0.6517,0.7018,0.634,0.6481,one-shot,1,2,1,0.2
962,PHI3.5_MINI,0.6546,0.6748,0.6338,0.6614,zero-shot,1,2,,0.0
963,PHI3.5_MINI,0.6433,0.6568,0.6338,0.669,many-shot,1,2,2,0.2
964,PHI3.5_MINI,0.6565,0.6724,0.6337,0.6634,zero-shot,1,1,,1.0
965,PHI3.5_MINI,0.6541,0.6733,0.6335,0.6622,zero-shot,1,2,,0.2
966,PHI3_MEDIUM,0.6609,0.6206,0.6333,0.7879,few-shot,1,2,1,0.2
967,GEMMA2-2B,0.624,0.6826,0.6333,0.6539,one-shot,1,2,1,0.2
968,MISTRAL_NEMO,0.658,0.6283,0.6331,0.6814,one-shot,1,1,2,0.2
969,LLAMA3.1,0.7044,0.6095,0.633,0.6921,zero-shot,1,1,,0.0
970,GEMMA2-9B,0.7494,0.6,0.633,0.6973,many-shot,2,1,2,1.0
971,PHI3.5_MINI,0.65,0.6975,0.6329,0.6448,one-shot,1,2,1,1.0
972,GEMMA2-2B,0.6422,0.6282,0.6329,0.6797,one-shot,3,2,1,0.0
973,LLAMA3.1,0.6574,0.6498,0.6328,0.6695,zero-shot,2,2,,0.5
974,LLAMA3.2_3B,0.6234,0.6482,0.6328,0.6624,few-shot,3,2,1,1.0
975,PHI3.5_MINI,0.619,0.6719,0.6328,0.6482,one-shot,2,1,2,0.0
976,PHI3.5_MINI,0.6497,0.6289,0.6327,0.6853,many-shot,1,1,1,0.5
977,LLAMA3.1,0.658,0.7051,0.6323,0.6416,one-shot,1,2,2,0.0
978,GEMMA2-2B,0.6428,0.6266,0.6322,0.6797,one-shot,3,2,1,0.2
979,LLAMA3.1,0.6572,0.6481,0.6322,0.6706,zero-shot,2,2,,0.2
980,LLAMA3.1,0.6587,0.6199,0.6321,0.6604,one-shot,1,1,2,1.0
981,PHI3.5_MINI,0.6333,0.6366,0.632,0.6741,many-shot,2,1,1,0.0
982,LLAMA3.1,0.6514,0.698,0.6319,0.6428,few-shot,1,2,2,1.0
983,GEMMA2-2B,0.6398,0.627,0.6317,0.6787,one-shot,3,2,1,1.0
984,PHI3.5_MINI,0.6497,0.7,0.6312,0.6447,one-shot,1,2,1,0.0
985,GEMMA2-2B,0.6278,0.6903,0.6312,0.6478,many-shot,1,2,1,0.0
986,PHI3.5_MINI,0.6407,0.6541,0.6311,0.6677,many-shot,1,2,2,0.0
987,PHI3.5_MINI,0.6503,0.6973,0.631,0.6445,one-shot,1,2,1,0.5
988,PHI3.5_MINI,0.6464,0.7074,0.6309,0.6426,one-shot,2,2,2,0.0
989,PHI3.5_MINI,0.6395,0.6452,0.6308,0.6719,many-shot,2,2,2,0.0
990,PHI3.5_MINI,0.6473,0.6717,0.6307,0.6545,zero-shot,2,2,,0.2
991,LLAMA3,0.6344,0.6684,0.6306,0.6545,zero-shot,2,2,,0.2
992,PHI3.5_MINI,0.6438,0.7068,0.6306,0.644,one-shot,2,2,2,1.0
993,PHI3_MEDIUM,0.6591,0.6184,0.6305,0.7873,many-shot,1,2,1,0.2
994,PHI3.5_MINI,0.6318,0.6358,0.6305,0.6714,many-shot,2,1,1,0.2
995,PHI3.5_MINI,0.6169,0.6695,0.6303,0.6462,one-shot,2,1,2,0.2
996,PHI3.5_MINI,0.6158,0.6723,0.6302,0.6442,one-shot,2,1,2,1.0
997,PHI3.5_MINI,0.6464,0.6717,0.6301,0.6534,zero-shot,2,2,,0.0
998,PHI3.5_MINI,0.6458,0.7069,0.63,0.6419,one-shot,2,2,2,0.5
999,GEMMA2-2B,0.6269,0.6884,0.6299,0.6473,many-shot,1,2,1,0.5
1000,PHI3.5_MINI,0.6257,0.6421,0.6298,0.6627,many-shot,1,1,2,0.2
1001,PHI3.5_MINI,0.6401,0.6526,0.6298,0.6654,many-shot,1,2,2,0.5
1002,PHI3.5_MINI,0.6381,0.644,0.6295,0.671,many-shot,2,2,2,0.2
1003,LLAMA3,0.6341,0.6264,0.6293,0.6534,zero-shot,1,1,,0.0
1004,LLAMA3,0.6401,0.7223,0.6293,0.623,few-shot,2,2,2,1.0
1005,LLAMA3.1,0.6369,0.7174,0.6292,0.6407,few-shot,1,2,1,0.0
1006,MISTRAL_NEMO,0.6632,0.6204,0.6292,0.6846,one-shot,2,1,2,0.2
1007,LLAMA3.1,0.6313,0.6285,0.6291,0.683,zero-shot,3,2,,1.0
1008,GEMMA2-2B,0.6259,0.6876,0.6291,0.6462,many-shot,1,2,1,0.2
1009,PHI3.5_MINI,0.6257,0.6406,0.629,0.6632,many-shot,1,1,2,0.5
1010,GEMMA2-2B,0.6401,0.6235,0.6289,0.6771,one-shot,3,2,1,0.5
1011,PHI3.5_MINI,0.6444,0.7053,0.6289,0.6408,one-shot,2,2,2,0.2
1012,LLAMA3.1,0.629,0.6993,0.6289,0.6408,one-shot,1,2,1,0.5
1013,LLAMA3,0.6357,0.625,0.6288,0.6489,zero-shot,1,1,,0.5
1014,LLAMA3.1,0.6575,0.6432,0.6285,0.6685,zero-shot,2,2,,0.0
1015,LLAMA3.1,0.6336,0.6878,0.6285,0.6454,few-shot,3,2,1,0.0
1016,LLAMA3.1,0.6354,0.6235,0.6284,0.6593,zero-shot,2,1,,0.5
1017,PHI3.5_MINI,0.6249,0.6398,0.6283,0.6632,many-shot,1,1,2,0.0
1018,LLAMA3.2_3B,0.6432,0.6207,0.6281,0.6845,many-shot,3,2,1,1.0
1019,LLAMA3,0.6334,0.6696,0.6279,0.6239,one-shot,2,1,2,1.0
1020,PHI3.5_MINI,0.6663,0.6088,0.6278,0.7066,many-shot,3,2,1,0.0
1021,PHI3.5_MINI,0.666,0.6085,0.6276,0.7061,many-shot,3,2,1,0.2
1022,PHI3.5_MINI,0.6447,0.6959,0.6276,0.6392,one-shot,2,2,1,0.5
1023,LLAMA3.1,0.6476,0.6218,0.6275,0.6792,zero-shot,1,2,,1.0
1024,LLAMA3.1,0.6503,0.6988,0.6272,0.6378,one-shot,1,2,2,0.5
1025,PHI3_MEDIUM,0.6461,0.6177,0.6269,0.8008,few-shot,1,2,1,0.0
1026,PHI3_MEDIUM,0.6461,0.6177,0.6269,0.8008,many-shot,2,2,1,0.0
1027,PHI3_MEDIUM,0.6461,0.6177,0.6269,0.8008,many-shot,1,2,1,0.0
1028,PHI3_MEDIUM,0.6461,0.6177,0.6269,0.8008,one-shot,2,2,1,0.0
1029,PHI3_MEDIUM,0.6461,0.6177,0.6269,0.8008,few-shot,2,2,1,0.0
1030,PHI3_MEDIUM,0.6461,0.6177,0.6269,0.8008,zero-shot,2,2,,0.0
1031,PHI3_MEDIUM,0.6461,0.6177,0.6269,0.8008,zero-shot,1,2,,0.0
1032,PHI3_MEDIUM,0.6461,0.6177,0.6269,0.8008,one-shot,1,2,1,0.0
1033,MISTRAL_NEMO,0.6372,0.6662,0.6268,0.6513,zero-shot,2,1,,0.5
1034,PHI3.5_MINI,0.6439,0.6984,0.6267,0.6369,one-shot,2,2,1,1.0
1035,PHI3_MEDIUM,0.6515,0.6144,0.6266,0.781,zero-shot,1,2,,0.2
1036,PHI3.5_MINI,0.6449,0.6973,0.6264,0.6384,one-shot,2,2,1,0.2
1037,PHI3.5_MINI,0.6444,0.6679,0.6264,0.6502,zero-shot,2,2,,0.5
1038,GEMMA2-2B,0.6177,0.6738,0.6262,0.6486,one-shot,1,2,1,0.5
1039,PHI3.5_MINI,0.6351,0.6409,0.6261,0.6688,many-shot,2,2,2,0.5
1040,LLAMA3,0.6147,0.6901,0.626,0.6271,one-shot,2,1,1,1.0
1041,PHI3.5_MINI,0.6628,0.6073,0.6259,0.7036,many-shot,3,2,1,0.5
1042,LLAMA3.1,0.6118,0.6593,0.6257,0.6421,one-shot,2,1,1,1.0
1043,LLAMA3.1,0.6514,0.6966,0.6257,0.6351,one-shot,1,2,2,0.2
1044,MISTRAL_NEMO,0.6454,0.6238,0.6253,0.6717,one-shot,1,1,2,0.5
1045,PHI3.5_MINI,0.6272,0.6297,0.6253,0.6691,many-shot,2,1,1,0.5
1046,LLAMA3.1,0.6164,0.6369,0.6249,0.6534,many-shot,2,1,1,0.0
1047,LLAMA3.1,0.6454,0.7052,0.6248,0.6319,one-shot,2,2,2,0.0
1048,LLAMA3,0.6293,0.6221,0.6246,0.6513,zero-shot,1,1,,0.2
1049,PHI3.5_MINI,0.6108,0.6635,0.624,0.6386,one-shot,2,1,2,0.5
1050,PHI3_MEDIUM,0.6482,0.6135,0.6239,0.7256,many-shot,2,2,1,0.5
1051,LLAMA3.1,0.6323,0.641,0.6238,0.6582,zero-shot,2,2,,1.0
1052,PHI3_MEDIUM,0.6463,0.6135,0.6238,0.7623,few-shot,2,2,1,0.2
1053,LLAMA3.2_3B,0.6124,0.6425,0.6238,0.6454,few-shot,1,1,1,0.0
1054,PHI3_MEDIUM,0.6205,0.635,0.6237,0.6814,few-shot,1,1,2,0.2
1055,LLAMA3,0.6209,0.6571,0.6236,0.648,zero-shot,2,2,,1.0
1056,LLAMA3.1,0.6916,0.6008,0.6235,0.6851,zero-shot,1,1,,0.5
1057,PHI3.5_MINI,0.6412,0.6656,0.6235,0.6475,zero-shot,2,2,,1.0
1058,PHI3.5_MINI,0.6425,0.6937,0.6235,0.6355,one-shot,2,2,1,0.0
1059,PHI3_MEDIUM,0.6726,0.7183,0.6235,0.6238,one-shot,1,2,2,1.0
1060,PHI3.5_MINI,0.6327,0.6378,0.6233,0.665,many-shot,2,2,2,1.0
1061,LLAMA3,0.6311,0.7215,0.6226,0.6287,few-shot,1,1,1,0.0
1062,LLAMA3,0.6481,0.7342,0.6225,0.6303,one-shot,2,2,1,0.0
1063,LLAMA3.1,0.6426,0.703,0.6224,0.6292,one-shot,2,2,2,0.5
1064,PHI3.5_MINI,0.6178,0.6347,0.6221,0.6566,many-shot,1,1,2,1.0
1065,GEMMA2-2B,0.6178,0.6774,0.6219,0.6415,many-shot,1,2,1,1.0
1066,LLAMA3,0.6223,0.6589,0.6219,0.647,zero-shot,2,2,,0.5
1067,GEMMA2-2B,0.6251,0.6885,0.6218,0.6357,many-shot,2,2,1,0.0
1068,PHI3.5_MINI,0.6349,0.675,0.6216,0.6419,few-shot,1,2,1,0.0
1069,PHI3.5_MINI,0.6565,0.6038,0.6213,0.6991,many-shot,3,2,1,1.0
1070,MISTRAL_NEMO,0.624,0.6188,0.621,0.6676,one-shot,1,1,1,1.0
1071,PHI3.5_MINI,0.6151,0.6355,0.6209,0.6537,many-shot,2,1,2,0.0
1072,LLAMA3.2_3B,0.6089,0.6407,0.6208,0.6432,few-shot,1,1,1,0.2
1073,LLAMA3,0.6481,0.7347,0.6207,0.6282,one-shot,2,2,1,0.2
1074,LLAMA3.1,0.6426,0.7009,0.6206,0.6276,one-shot,2,2,2,0.2
1075,LLAMA3.1,0.6108,0.6342,0.6206,0.6466,many-shot,1,1,1,0.5
1076,PHI3.5_MINI,0.6146,0.6359,0.6206,0.6528,many-shot,2,1,2,0.2
1077,LLAMA3.1,0.6469,0.6927,0.6205,0.6292,one-shot,1,2,2,1.0
1078,MISTRAL_NEMO,0.6972,0.593,0.6203,0.7007,zero-shot,3,2,,1.0
1079,GEMMA2-2B,0.6245,0.6859,0.6203,0.6351,many-shot,2,2,1,0.5
1080,PHI3.5_MINI,0.6302,0.62,0.6202,0.6712,many-shot,1,1,1,1.0
1081,LLAMA3.1,0.6635,0.6203,0.6201,0.6276,one-shot,2,1,2,0.2
1082,MISTRAL_NEMO,0.6458,0.6138,0.6201,0.6744,one-shot,2,1,2,0.5
1083,LLAMA3.1,0.6394,0.7003,0.6199,0.6265,one-shot,2,2,2,1.0
1084,PHI3.5_MINI,0.6343,0.6744,0.6197,0.6388,few-shot,1,2,1,0.2
1085,LLAMA3.1,0.6312,0.7175,0.6197,0.6276,few-shot,2,2,1,0.2
1086,GEMMA2-2B,0.6349,0.6618,0.6196,0.6394,many-shot,1,2,2,1.0
1087,MISTRAL_NEMO,0.6322,0.6232,0.6195,0.6645,one-shot,1,1,2,1.0
1088,LLAMA3,0.6436,0.7308,0.6194,0.6271,one-shot,2,2,1,0.5
1089,PHI3_MEDIUM,0.6325,0.611,0.6194,0.6814,many-shot,1,1,2,0.5
1090,GEMMA2-2B,0.6226,0.6857,0.619,0.633,many-shot,2,2,1,0.2
1091,LLAMA3.1,0.6318,0.7167,0.6189,0.6271,few-shot,2,2,1,0.0
1092,PHI3.5_MINI,0.6301,0.6606,0.6188,0.6443,zero-shot,2,1,,0.2
1093,PHI3.5_MINI,0.6298,0.6622,0.618,0.6421,zero-shot,2,1,,0.5
1094,LLAMA3,0.6253,0.716,0.6173,0.6228,few-shot,1,1,1,0.5
1095,GEMMA2-2B,0.6166,0.6594,0.6173,0.6362,few-shot,3,2,1,0.0
1096,PHI3_MEDIUM,0.6656,0.7189,0.6169,0.6173,one-shot,1,2,2,0.0
1097,PHI3_MEDIUM,0.6656,0.7189,0.6169,0.6173,one-shot,2,2,2,0.0
1098,LLAMA3,0.6255,0.7151,0.6168,0.6228,few-shot,1,1,1,0.2
1099,LLAMA3.1,0.6621,0.6167,0.6168,0.6249,one-shot,2,1,2,0.0
1100,LLAMA3,0.6205,0.6166,0.6168,0.6362,zero-shot,1,1,,1.0
1101,PHI3_MEDIUM,0.6668,0.721,0.6167,0.6172,one-shot,1,2,2,0.2
1102,PHI3_MEDIUM,0.6692,0.7188,0.6164,0.6163,one-shot,1,2,2,0.5
1103,PHI3.5_MINI,0.6268,0.6586,0.6161,0.6411,zero-shot,2,1,,0.0
1104,PHI3.5_MINI,0.6289,0.6685,0.6151,0.6358,few-shot,1,2,1,1.0
1105,GEMMA2-2B,0.6054,0.66,0.6149,0.6373,one-shot,1,2,1,1.0
1106,PHI3_MEDIUM,0.6666,0.7188,0.6147,0.6141,one-shot,2,2,2,0.2
1107,LLAMA3.1,0.6181,0.6667,0.6143,0.6336,one-shot,2,2,1,1.0
1108,LLAMA3.1,0.604,0.6751,0.6142,0.6239,few-shot,2,1,1,1.0
1109,PHI3.5_MINI,0.6299,0.67,0.6142,0.635,few-shot,1,2,1,0.5
1110,PHI3.5_MINI,0.6158,0.6202,0.6141,0.6591,many-shot,2,1,1,1.0
1111,PHI3.5_MINI,0.6074,0.6316,0.6139,0.6452,many-shot,2,1,2,0.5
1112,PHI3_MEDIUM,0.6753,0.7257,0.6139,0.6122,many-shot,2,2,2,0.2
1113,GEMMA2-2B,0.6128,0.6571,0.6139,0.6323,few-shot,3,2,1,0.5
1114,LLAMA3.1,0.6086,0.6713,0.6138,0.6283,few-shot,3,2,1,0.5
1115,GEMMA2-2B,0.6129,0.6568,0.613,0.6308,few-shot,3,2,1,0.2
1116,LLAMA3,0.6387,0.721,0.6128,0.6201,many-shot,3,2,1,1.0
1117,GEMMA2-2B,0.612,0.6578,0.6125,0.6282,few-shot,3,2,1,1.0
1118,PHI3_MEDIUM,0.6744,0.724,0.6122,0.6104,many-shot,2,2,2,0.0
1119,PHI3_MEDIUM,0.6744,0.724,0.6122,0.6104,many-shot,1,2,2,0.0
1120,PHI3.5_MINI,0.6065,0.6271,0.612,0.6446,many-shot,2,1,2,1.0
1121,PHI3_MEDIUM,0.6757,0.7212,0.612,0.6101,many-shot,1,2,2,0.2
1122,LLAMA3,0.6365,0.7192,0.6119,0.619,many-shot,3,2,1,0.5
1123,PHI3_MEDIUM,0.6225,0.6046,0.6119,0.6767,many-shot,2,1,2,0.5
1124,LLAMA3.2_3B,0.6009,0.63,0.6119,0.6373,few-shot,1,1,1,0.5
1125,LLAMA3,0.6205,0.7053,0.6113,0.6185,few-shot,1,1,1,1.0
1126,PHI3_MEDIUM,0.658,0.7038,0.6108,0.6115,one-shot,2,2,2,1.0
1127,LLAMA3.1,0.6218,0.6064,0.6108,0.6764,many-shot,3,2,1,1.0
1128,PHI3_MEDIUM,0.6249,0.6008,0.6096,0.7418,zero-shot,2,2,,0.5
1129,PHI3_MEDIUM,0.6617,0.7114,0.6095,0.6088,one-shot,2,2,2,0.5
1130,GEMMA2-2B,0.6169,0.6921,0.6087,0.6206,one-shot,1,2,2,0.2
1131,LLAMA3,0.6366,0.7187,0.6084,0.6158,many-shot,3,2,1,0.0
1132,PHI3_MEDIUM,0.6403,0.5971,0.6083,0.7753,one-shot,1,2,1,0.2
1133,LLAMA3.1,0.6024,0.6421,0.6082,0.6308,one-shot,1,1,1,1.0
1134,GEMMA2-2B,0.6173,0.694,0.6081,0.6196,one-shot,1,2,2,0.0
1135,PHI3_MEDIUM,0.6371,0.5952,0.608,0.723,zero-shot,1,2,,0.5
1136,GEMMA2-2B,0.6179,0.6951,0.6079,0.6185,one-shot,1,2,2,0.5
1137,LLAMA3,0.6383,0.7229,0.6076,0.6158,one-shot,2,2,1,1.0
1138,LLAMA3.2_3B,0.6391,0.6272,0.6071,0.6566,zero-shot,3,2,,0.0
1139,LLAMA3,0.6354,0.7183,0.607,0.6142,many-shot,3,2,1,0.2
1140,LLAMA3.1,0.5977,0.6194,0.6067,0.6319,many-shot,2,1,1,0.2
1141,PHI3.5_MINI,0.6193,0.6925,0.6067,0.6118,one-shot,2,1,1,1.0
1142,LLAMA3.2_3B,0.6264,0.6608,0.6056,0.6163,many-shot,2,2,2,0.0
1143,PHI3.5_MINI,0.618,0.6486,0.6051,0.6303,zero-shot,2,1,,1.0
1144,PHI3_MEDIUM,0.6678,0.7112,0.6048,0.6023,many-shot,1,2,2,0.5
1145,PHI3_MEDIUM,0.6262,0.5939,0.6046,0.7299,few-shot,2,2,1,0.5
1146,LLAMA3.2_3B,0.6367,0.6263,0.6045,0.6534,zero-shot,3,2,,0.2
1147,PHI3.5_MINI,0.621,0.6732,0.604,0.6128,few-shot,1,1,1,0.0
1148,PHI3.5_MINI,0.6202,0.6708,0.6039,0.6134,few-shot,1,1,1,0.2
1149,GEMMA2-2B,0.6024,0.6767,0.6039,0.6136,one-shot,3,2,2,1.0
1150,LLAMA3,0.6017,0.6385,0.6038,0.6051,zero-shot,2,1,,0.2
1151,MISTRAL_NEMO,0.6247,0.5993,0.6038,0.6599,one-shot,2,1,2,1.0
1152,GEMMA2-2B,0.6024,0.6799,0.6035,0.612,one-shot,3,2,2,0.0
1153,LLAMA3.2_3B,0.5928,0.632,0.6029,0.6196,few-shot,2,1,1,0.2
1154,LLAMA3.2_3B,0.624,0.6579,0.6028,0.6131,many-shot,2,2,2,0.2
1155,PHI3_MEDIUM,0.6086,0.6921,0.6022,0.7702,one-shot,2,1,2,0.2
1156,GEMMA2-2B,0.6012,0.6789,0.6019,0.6104,one-shot,3,2,2,0.2
1157,PHI3.5_MINI,0.6138,0.6863,0.6018,0.607,one-shot,2,1,1,0.2
1158,PHI3_MEDIUM,0.6652,0.7098,0.6017,0.6001,many-shot,2,2,2,0.5
1159,LLAMA3.2_3B,0.5925,0.6312,0.6017,0.6185,few-shot,2,1,1,0.0
1160,PHI3_MEDIUM,0.6649,0.713,0.6015,0.5997,few-shot,2,2,2,0.2
1161,LLAMA3.1,0.6417,0.6023,0.6014,0.6153,one-shot,2,1,2,0.5
1162,PHI3_MEDIUM,0.6097,0.6819,0.6012,0.7736,one-shot,1,1,2,0.2
1163,PHI3_MEDIUM,0.6682,0.7126,0.6012,0.5988,few-shot,2,2,2,0.0
1164,PHI3_MEDIUM,0.6682,0.7126,0.6012,0.5988,few-shot,1,2,2,0.0
1165,LLAMA3,0.5986,0.6359,0.6006,0.6013,zero-shot,2,1,,0.5
1166,LLAMA3,0.5993,0.6344,0.6003,0.6024,zero-shot,2,1,,0.0
1167,PHI3_MEDIUM,0.6635,0.7058,0.6002,0.5977,few-shot,2,2,2,0.5
1168,LLAMA3.1,0.5902,0.634,0.6001,0.6315,many-shot,2,2,1,1.0
1169,PHI3_MEDIUM,0.8263,0.6467,0.6,0.7404,few-shot,2,1,1,0.2
1170,LLAMA3.1,0.6454,0.586,0.5999,0.6588,zero-shot,1,1,,1.0
1171,LLAMA3.1,0.632,0.6035,0.5997,0.6179,one-shot,2,1,2,1.0
1172,GEMMA2-2B,0.5993,0.6662,0.5996,0.6169,one-shot,2,2,1,0.0
1173,PHI3.5_MINI,0.6219,0.6103,0.5996,0.6492,many-shot,2,2,1,0.0
1174,LLAMA3.2_3B,0.6209,0.6551,0.5996,0.6099,many-shot,2,2,2,0.5
1175,PHI3.5_MINI,0.6247,0.6691,0.5995,0.6105,few-shot,2,2,1,0.0
1176,PHI3_MEDIUM,0.6143,0.5927,0.5995,0.7963,zero-shot,2,2,,0.2
1177,GEMMA2-2B,0.5982,0.6743,0.5995,0.6093,one-shot,3,2,2,0.5
1178,PHI3.5_MINI,0.6139,0.6838,0.5995,0.6048,one-shot,2,1,1,0.5
1179,PHI3.5_MINI,0.6184,0.6661,0.5993,0.6086,few-shot,1,1,1,0.5
1180,PHI3_MEDIUM,0.6044,0.6379,0.5991,0.7415,one-shot,1,1,2,0.5
1181,PHI3.5_MINI,0.6234,0.6708,0.5991,0.6096,few-shot,2,2,1,1.0
1182,PHI3_MEDIUM,0.5947,0.6131,0.599,0.646,few-shot,1,1,2,0.5
1183,PHI3_MEDIUM,0.6613,0.6999,0.599,0.5966,many-shot,2,2,2,1.0
1184,PHI3.5_MINI,0.613,0.6841,0.599,0.6042,one-shot,2,1,1,0.0
1185,GEMMA2-2B,0.6071,0.6656,0.5989,0.6127,many-shot,2,2,1,1.0
1186,LLAMA3.2_3B,0.5932,0.6589,0.5989,0.612,many-shot,1,1,1,0.0
1187,LLAMA3.2_3B,0.593,0.6584,0.5988,0.612,many-shot,1,1,1,0.2
1188,PHI3.5_MINI,0.6337,0.6797,0.5986,0.6018,few-shot,2,2,2,0.5
1189,PHI3_MEDIUM,0.6104,0.5998,0.5985,0.7211,few-shot,1,2,1,0.5
1190,GEMMA2-2B,0.6129,0.6922,0.5984,0.6088,few-shot,1,2,1,0.5
1191,LLAMA3.1,0.6148,0.7004,0.5982,0.611,few-shot,1,2,1,0.5
1192,PHI3.5_MINI,0.6209,0.6093,0.5981,0.6494,many-shot,2,2,1,0.2
1193,PHI3.5_MINI,0.6203,0.6959,0.5981,0.6027,one-shot,1,1,1,0.5
1194,PHI3.5_MINI,0.6213,0.6655,0.598,0.6095,few-shot,2,2,1,0.5
1195,GEMMA2-2B,0.6116,0.6872,0.5979,0.6083,one-shot,1,2,2,1.0
